"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Kanye West","Father Stretch My Hands Pt. 1",2016-04-23,2016,2016-10-29,2016,23,37,100,135920,0.714,0.566,7,-4.408,1,0.056,0.142,1.25e-06,0.57,0.449,113.074,4,75
"Ski Mask The Slump God","Faucet Failure",2019-03-09,2019,2019-05-18,2019,11,87,100,145626,0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993,4,83
"Tool","Fear Inoculum",2019-08-17,2019,2019-08-17,2019,1,93,93,620101,0.313,0.584,7,-10.091,1,0.0415,0.000824,0.52,0.0529,0.159,87.894,4,71
"Kendrick Lamar","Fear.",2017-05-06,2017,2017-05-13,2017,2,50,91,460573,0.588,0.479,1,-7.039,1,0.281,0.604,7.2e-06,0.527,0.434,150.414,4,67
"Taylor Swift","Fearless (Taylor's Version)",2021-04-24,2021,2021-04-24,2021,1,71,71,241591,0.569,0.741,5,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118,4,42
"Future","Feed Me Dope",2017-11-11,2017,2017-11-11,2017,1,68,68,166693,0.853,0.688,8,-6.509,0,0.296,0.0118,0,0.151,0.565,150.012,4,57
"Kanye West","Feedback",2016-04-23,2016,2016-04-23,2016,1,99,99,147240,0.837,0.562,1,-6.038,1,0.492,0.593,0,0.104,0.149,100.17,4,64
"Portugal. The Man","Feel It Still",2017-07-08,2017,2018-05-05,2018,44,4,89,163253,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,82
"Selena Gomez","Feel Me",2020-03-07,2020,2020-03-07,2020,1,98,98,226002,0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.392,99.989,4,66
"Drake","Feel No Ways",2016-05-21,2016,2016-06-25,2016,6,53,91,240653,0.589,0.673,7,-7.082,1,0.167,0.0319,5.68e-06,0.108,0.209,193.783,4,70
"KIDS SEE GHOSTS","Feel The Love",2018-06-23,2018,2018-06-23,2018,1,47,47,165053,0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,4,68
"Kendrick Lamar","Feel.",2017-05-06,2017,2017-05-13,2017,2,35,69,214826,0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,4,66
"Nicki Minaj Featuring Beyonce","Feeling Myself",2015-01-03,2015,2015-06-06,2015,20,39,100,237840,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045,4,67
"Childish Gambino","Feels Like Summer",2018-09-15,2018,2018-09-22,2018,2,54,93,297404,0.554,0.596,7,-8.214,1,0.13,0.162,0.00482,0.0805,0.255,165.728,4,73
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Feels",2017-07-08,2017,2017-11-04,2017,18,20,94,223413,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4,76
"6ix9ine Featuring Nicki Minaj & Murda Beatz","FEFE",2018-08-04,2018,2018-12-15,2018,20,3,52,179404,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,4,80
"Gunna","Feigning",2020-06-06,2020,2020-06-06,2020,1,98,98,165680,0.793,0.536,5,-7.624,0,0.103,0.0704,3.86e-06,0.171,0.382,78.006,4,53
"Maluma","Felices Los 4",2017-06-03,2017,2017-10-14,2017,20,48,93,230000,0.766,0.756,5,-5.861,1,0.132,0.213,0,0.349,0.716,94.027,4,78
"Jose Feliciano","Feliz Navidad",2017-01-07,2017,2021-01-09,2021,14,6,45,182066,0.512,0.831,2,-9.004,1,0.0383,0.552,0,0.336,0.963,148.82,4,81
"Jose Feliciano","Feliz Navidad",2017-01-07,2017,2021-01-09,2021,14,6,45,182066,0.512,0.831,2,-9.004,1,0.0383,0.552,0,0.336,0.963,148.82,4,83
"Keith Urban","Female",2017-12-02,2017,2018-03-03,2018,6,69,100,195316,0.567,0.477,8,-8.781,0,0.0331,0.186,4.86e-05,0.111,0.321,85.019,5,60
"Selena Gomez Featuring Gucci Mane","Fetish",2017-07-29,2017,2017-10-14,2017,12,27,96,186112,0.707,0.611,2,-4.474,1,0.0639,0.0198,3.59e-06,0.0651,0.285,123.006,4,74
"Taylor Swift","Fifteen (Taylor's Version)",2021-04-24,2021,2021-04-24,2021,1,88,88,294419,0.559,0.646,7,-4.61,1,0.0272,0.116,0,0.32,0.289,95.466,4,47
"Rachel Platten","Fight Song",2015-05-02,2015,2015-11-28,2015,31,6,80,204013,0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924,4,80
"Juice WRLD","Fighting Demons",2020-07-25,2020,2020-08-01,2020,2,35,79,200628,0.707,0.67,7,-6.328,0,0.257,0.0813,0,0.098,0.235,163.099,4,72
"BTS","Film Out",2021-04-17,2021,2021-04-17,2021,1,81,81,214620,0.499,0.709,10,-6.404,1,0.134,0.296,0,0.331,0.314,164.032,4,86
"BTS","Filter",2020-03-07,2020,2020-03-07,2020,1,87,87,180220,0.781,0.762,10,-5.188,0,0.0626,0.0222,0,0.121,0.86,110.042,4,80
"Justin Timberlake","Filthy",2018-01-20,2018,2018-02-24,2018,6,9,90,293946,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,4,53
"Drake","Final Fantasy",2018-07-14,2018,2018-07-14,2018,1,56,56,219960,0.5,0.448,0,-10.977,1,0.442,0.422,8.03e-06,0.115,0.104,144.204,1,65
"NLE Choppa","Final Warning",2021-05-15,2021,2021-05-15,2021,1,90,90,156894,0.847,0.912,11,-3.129,1,0.257,0.0781,0,0.142,0.88,81.486,4,78
"DaBaby","Find My Way",2020-04-18,2020,2020-05-16,2020,5,22,98,139890,0.836,0.624,4,-6.75,0,0.184,0.187,0,0.138,0.7,103,4,68
"YoungBoy Never Broke Again","Fine By Time",2020-03-07,2020,2020-03-07,2020,1,58,58,175339,0.506,0.787,8,-6.634,1,0.161,0.254,0,0.112,0.333,99.956,4,55
"Future & Juice WRLD","Fine China",2018-11-03,2018,2019-01-26,2019,13,26,97,141586,0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.126,0.551,166.111,4,82
"Bruno Mars & Cardi B","Finesse",2018-01-13,2018,2018-06-16,2018,23,3,50,217288,0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,4,78
"Drake","Finesse",2018-07-14,2018,2018-07-21,2018,2,42,78,182080,0.807,0.32,0,-8.152,0,0.0582,0.133,0.000328,0.101,0.298,94.99,4,70
"Drake","Fire & Desire",2016-05-21,2016,2016-06-11,2016,4,75,92,238120,0.711,0.254,1,-14.404,0,0.0863,0.0829,0,0.0865,0.253,79.904,4,70
"Bea Miller","Fire N Gold",2015-08-15,2015,2015-08-15,2015,1,78,78,211573,0.539,0.869,6,-5.341,1,0.0471,0.00463,0,0.324,0.362,143.987,4,62
"Pitbull Featuring John Ryan","Fireball",2014-08-23,2014,2015-01-03,2015,20,23,96,235012,0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951,4,67
"KIDS SEE GHOSTS","Fire",2018-06-23,2018,2018-06-23,2018,1,67,67,140526,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999,4,64
"Kygo Featuring Conrad","Firestone",2015-10-03,2015,2015-10-03,2015,1,92,92,273684,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,4,78
"Kodak Black","First Day Out",2017-07-08,2017,2017-07-08,2017,1,61,61,180000,0.806,0.557,2,-6.633,0,0.114,0.405,6.62e-06,0.0838,0.504,140.011,4,56
"Tee Grizzley","First Day Out",2017-04-22,2017,2017-09-02,2017,20,48,88,254693,0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,4,74
"Kid Rock","First Kiss",2015-03-14,2015,2015-03-14,2015,1,66,66,280346,0.615,0.889,4,-2.539,1,0.0371,0.00388,0,0.0947,0.659,131.96,4,54
"Camila Cabello","First Man",2020-02-08,2020,2020-02-08,2020,1,94,94,228758,0.572,0.292,7,-7.621,1,0.0364,0.906,1.04e-06,0.106,0.223,100.152,4,65
"Future Featuring Travis Scott","First Off",2019-02-02,2019,2019-02-16,2019,3,47,80,228366,0.734,0.683,1,-6.105,1,0.0776,0.013,0,0.28,0.445,162.038,4,71
"Kygo & Ellie Goulding","First Time",2017-05-20,2017,2017-05-20,2017,1,67,67,193511,0.633,0.592,0,-7.245,0,0.112,0.197,0,0.099,0.679,90.066,4,71
"Scotty McCreery","Five More Minutes",2017-12-23,2017,2018-04-28,2018,19,44,98,241146,0.496,0.632,7,-4.933,1,0.0282,0.257,1.07e-06,0.109,0.278,156.034,4,67
"Chris Janson","Fix A Drink",2017-09-02,2017,2017-12-16,2017,14,67,98,188933,0.563,0.887,1,-5.013,1,0.0857,0.0297,0,0.352,0.794,158.05,4,62
"Chris Lane","Fix",2016-06-18,2016,2016-09-03,2016,12,65,99,190240,0.532,0.883,0,-2.743,0,0.0352,0.0951,0,0.304,0.7,99.995,4,59
"Jessie J","Flashlight",2015-06-06,2015,2015-07-18,2015,7,61,95,209560,0.379,0.618,5,-7.065,1,0.0586,0.337,5.1e-06,0.102,0.4,147.53,4,63
"Cole Swindell","Flatliner",2017-04-29,2017,2017-09-09,2017,18,56,100,177066,0.555,0.896,0,-3.295,1,0.0388,0.00434,0,0.145,0.578,114.995,4,64
"Juice WRLD","Flaws And Sins",2019-03-23,2019,2019-03-23,2019,1,91,91,218348,0.709,0.662,8,-4.55,1,0.0766,0.00966,0,0.108,0.439,150.046,4,76
"Rich Homie Quan","Flex (Ooh Ooh Ooh)",2015-05-09,2015,2015-11-07,2015,27,26,96,176674,0.728,0.62,2,-7.533,1,0.0434,0.038,0,0.342,0.885,81.998,4,64
"Logic","Flexicution",2016-07-23,2016,2016-07-23,2016,1,100,100,218946,0.772,0.701,0,-6.605,0,0.0724,0.0581,0.00159,0.106,0.69,159.954,4,68
"Chedda Da Connect","Flicka Da Wrist",2015-05-16,2015,2015-07-04,2015,4,94,100,221667,0.949,0.387,6,-8.798,1,0.352,0.043,1.51e-06,0.0578,0.558,125.047,4,46
"Quavo Featuring Drake","Flip The Switch",2018-10-27,2018,2018-10-27,2018,1,48,48,156195,0.853,0.637,3,-5.924,0,0.331,0.129,0,0.267,0.496,86.048,4,72
"ScHoolboy Q Featuring 21 Savage","Floating",2019-05-11,2019,2019-05-11,2019,1,67,67,186826,0.906,0.545,11,-4.977,0,0.344,0.181,0,0.091,0.543,139.932,4,74
"5 Seconds Of Summer","Fly Away",2015-09-05,2015,2015-09-05,2015,1,100,100,212601,0.432,0.887,2,-3.103,1,0.0533,0.000762,0,0.129,0.513,92.531,4,49
"BTS","Fly To My Room",2020-12-05,2020,2020-12-05,2020,1,69,69,222242,0.764,0.526,11,-7.355,1,0.212,0.0484,0,0.0718,0.588,114.91,4,79
"Maddie & Tae","Fly",2015-08-01,2015,2015-10-31,2015,14,61,95,217293,0.512,0.68,5,-4.112,1,0.0278,0.606,0,0.175,0.26,156.038,4,55
"Kanye West","FML",2016-04-23,2016,2016-04-23,2016,1,84,84,236120,0.667,0.423,9,-7.146,0,0.0822,0.313,0,0.193,0.156,125.116,4,70
"Ariana Grande","Focus",2015-11-21,2015,2016-02-13,2016,13,7,89,211360,0.681,0.879,3,-6.006,0,0.291,0.266,0,0.446,0.818,99.955,4,66
"H.E.R.","Focus",2018-04-14,2018,2018-04-14,2018,1,100,100,200133,0.415,0.313,1,-12.945,0,0.0561,0.255,1.4e-05,0.117,0.0875,84.953,4,70
"J. Cole","Foldin Clothes",2016-12-31,2016,2017-01-07,2017,2,30,98,316920,0.713,0.496,7,-10.045,0,0.311,0.218,0.000237,0.0761,0.6,162.039,4,61
"Kanye West","Follow God",2019-11-09,2019,2019-12-14,2019,6,7,91,104591,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,4,87
"Kanye West","Follow God",2019-11-09,2019,2019-12-14,2019,6,7,91,104591,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,4,87
"Imagine Dragons","Follow You",2021-03-27,2021,2021-05-29,2021,7,68,96,175643,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,4,87
"Ski Mask The Slump God","Foot Fungus",2018-12-15,2018,2018-12-15,2018,1,81,81,129546,0.881,0.623,1,-9.662,1,0.119,0.257,1.5e-06,0.0964,0.745,88.953,4,76
"DJ Khaled Featuring Drake","For Free",2016-06-25,2016,2016-11-05,2016,20,13,47,183695,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,4,58
"Chris Lane","For Her",2017-08-19,2017,2017-09-09,2017,4,92,99,211226,0.491,0.904,6,-4.324,1,0.0344,0.0985,0,0.183,0.588,150.007,4,61
"Kane Brown","For My Daughter",2019-11-16,2019,2019-11-16,2019,1,90,90,223922,0.537,0.561,1,-8.09,1,0.0287,0.275,5.78e-05,0.126,0.35,139.939,4,71
"Lil Uzi Vert","For Real",2017-09-16,2017,2017-09-16,2017,1,82,82,177048,0.902,0.673,4,-7.481,1,0.458,0.159,0,0.289,0.615,132.066,4,62
"Darius Rucker","For The First Time",2018-04-07,2018,2018-06-09,2018,10,58,98,197053,0.547,0.804,6,-5.268,1,0.0361,0.00738,0,0.0308,0.666,142.016,4,64
"J. Cole","For Whom The Bell Tolls",2016-12-31,2016,2017-01-07,2017,2,23,93,127880,0.652,0.407,10,-11.028,0,0.0354,0.471,0,0.294,0.169,111.65,3,62
"Liam Payne & Rita Ora","For You (Fifty Shades Freed)",2018-01-20,2018,2018-03-03,2018,3,76,92,245453,0.541,0.787,2,-4.618,0,0.0331,0.0167,0,0.157,0.2,113,4,72
"Taylor Swift","Forever & Always (Taylor's Version)",2021-04-24,2021,2021-04-24,2021,1,65,65,225328,0.598,0.821,10,-4.433,1,0.0447,0.0231,0,0.143,0.673,128.03,4,49
"Luke Combs","Forever After All",2020-11-07,2020,2021-05-29,2021,30,2,92,232533,0.487,0.65,0,-5.195,1,0.0253,0.191,0,0.0933,0.456,151.964,4,83
"Artists Of Then, Now & Forever","Forever Country",2016-10-08,2016,2016-10-29,2016,4,21,97,242480,0.2,0.698,7,-5.873,1,0.0399,0.413,1.69e-05,0.0925,0.132,89.998,4,59
"Beyonce","Formation",2016-05-14,2016,2016-06-25,2016,7,10,88,206080,0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,4,78
"Beyonce Featuring James Blake","Forward",2016-05-14,2016,2016-05-14,2016,1,63,63,79200,0.387,0.133,7,-15.633,0,0.0474,0.947,0.0591,0.107,0.0498,124.397,4,58
"Kane Brown","Found You",2017-09-30,2017,2017-09-30,2017,1,80,80,191733,0.46,0.821,4,-5.333,0,0.0404,0.0528,0,0.0818,0.438,164.144,4,63
"Rihanna & Kanye West & Paul McCartney","FourFiveSeconds",2015-02-07,2015,2015-06-20,2015,20,4,76,188238,0.576,0.267,2,-5.668,1,0.044,0.878,0,0.119,0.326,205.888,4,80
"Wiz Khalifa Featuring Lil Skies","Fr Fr",2018-07-28,2018,2018-07-28,2018,1,73,73,195590,0.916,0.493,1,-7.371,0,0.162,0.12,2.63e-06,0.211,0.327,140.057,4,70
"Nicki Minaj","Fractions",2021-05-29,2021,2021-05-29,2021,1,52,52,181690,0.924,0.523,0,-6.362,1,0.132,0.011,0,0.17,0.144,131.892,4,76
"Lil Dicky Featuring Chris Brown","Freaky Friday",2018-03-31,2018,2018-08-11,2018,20,8,83,216631,0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,4,79
"Drake","Free Smoke",2017-04-08,2017,2017-04-29,2017,4,18,72,218673,0.617,0.492,10,-7.588,0,0.448,0.0621,0,0.484,0.208,141.953,4,66
"Beyonce Featuring Kendrick Lamar","Freedom",2016-05-14,2016,2016-05-21,2016,2,35,65,289760,0.437,0.803,2,-6.412,1,0.305,0.0376,0,0.683,0.406,84.378,4,66
"KIDS SEE GHOSTS","Freeee (Ghost Town, Pt. 2)",2018-06-23,2018,2018-06-23,2018,1,62,62,206605,0.334,0.81,9,-4.855,0,0.0632,0.00457,0,0.158,0.306,151.643,4,62
"Rod Wave","Freestyle",2020-08-22,2020,2020-08-22,2020,1,86,86,174768,0.744,0.648,6,-8.66,0,0.0623,0.0517,0,0.174,0.523,154.063,5,56
"Andy Grammer","Fresh Eyes",2016-10-22,2016,2017-02-18,2017,18,59,97,198001,0.828,0.56,0,-6.685,1,0.0327,0.548,3.66e-05,0.15,0.872,122.054,4,70
"J. Cole Featuring kiLL edward","Friends",2018-05-05,2018,2018-05-05,2018,1,46,46,257646,0.716,0.652,6,-7.909,0,0.398,0.102,0,0.11,0.494,109.295,5,63
"Justin Bieber + BloodPop","Friends",2017-09-09,2017,2017-11-11,2017,10,20,94,189466,0.743,0.733,8,-5.337,1,0.0375,0.00402,0,0.304,0.622,104.977,4,77
"Marshmello & Anne-Marie","Friends",2018-02-24,2018,2018-09-08,2018,29,11,72,202620,0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,4,85
"The Carters","Friends",2018-06-30,2018,2018-06-30,2018,1,99,99,344293,0.75,0.573,10,-8.391,0,0.0779,0.137,1.89e-05,0.133,0.303,143.948,4,53
"Drake","From Florida With Love",2020-05-16,2020,2020-05-16,2020,1,45,45,234782,0.787,0.477,6,-7.837,0,0.199,0.768,0,0.104,0.476,80.506,4,64
"Dan + Shay","From The Ground Up",2016-06-11,2016,2016-09-24,2016,16,48,90,253933,0.281,0.58,9,-5.967,1,0.0323,0.333,0,0.122,0.282,151.568,3,70
"Meek Mill Featuring Lil Uzi Vert & Nicki Minaj","Froze",2016-11-19,2016,2016-11-19,2016,1,68,68,210471,0.7,0.693,2,-6.553,1,0.14,0.00375,0,0.314,0.525,133.981,4,55
"Rod Wave","Fuck The World",2020-04-18,2020,2020-04-18,2020,1,64,64,140068,0.705,0.69,8,-6.667,1,0.148,0.266,0,0.0909,0.466,160.005,4,58
"Lil Wayne","Funeral",2020-02-15,2020,2020-02-15,2020,1,88,88,194640,0.577,0.624,0,-4.28,1,0.26,0.472,0,0.182,0.324,136.966,4,43
"Pitbull Featuring Chris Brown","Fun",2015-05-30,2015,2015-09-05,2015,15,40,96,202306,0.793,0.774,0,-3.667,0,0.0478,0.156,0,0.193,0.547,113.967,4,62
"Lil Uzi Vert","Futsal Shuffle 2020",2019-12-28,2019,2020-03-28,2020,11,5,94,198912,0.881,0.457,7,-8.191,0,0.156,0.0327,0,0.231,0.296,136.97,4,91
"Flo Rida Featuring Sage The Gemini & Lookas","G.D.F.R.",2014-11-08,2014,2015-07-25,2015,35,8,98,190185,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4,69
"Ed Sheeran","Galway Girl",2017-03-25,2017,2017-05-27,2017,5,53,94,170826,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4,81
"Luke Bryan","Games",2015-03-28,2015,2015-06-06,2015,5,92,99,176293,0.516,0.886,8,-3.368,0,0.104,0.179,0,0.135,0.882,157.907,4,55
"Migos","Gang Gang",2018-02-10,2018,2018-02-10,2018,1,73,73,181318,0.635,0.601,2,-9.837,1,0.144,0.272,0,0.112,0.515,180.046,4,63
"Kehlani","Gangsta",2016-08-27,2016,2016-11-26,2016,12,41,100,177028,0.439,0.447,10,-8.318,0,0.0436,0.111,0,0.303,0.11,121.48,4,71
"Pop Smoke","Gangstas",2020-07-18,2020,2020-07-25,2020,2,37,83,160000,0.548,0.506,4,-7.434,0,0.102,0.203,1e-04,0.0788,0.557,119.987,5,73
"Sheppard","Geronimo",2014-12-20,2014,2015-05-30,2015,21,53,96,218227,0.712,0.763,7,-6.254,1,0.0867,0.477,0.00118,0.114,0.503,142.031,4,63
"Kenny Chesney","Get Along",2018-04-21,2018,2018-09-08,2018,21,22,85,199625,0.632,0.804,7,-6.109,1,0.0503,0.101,0,0.17,0.35,92.456,4,72
"Lil Yachty Featuring Playboi Carti","Get Dripped",2018-11-03,2018,2018-11-03,2018,1,98,98,158769,0.95,0.489,8,-8.411,1,0.462,0.105,0,0.411,0.919,130.021,4,73
"Drake Featuring Jorja Smith & Black Coffee","Get It Together",2017-04-08,2017,2017-04-15,2017,2,45,68,250337,0.78,0.729,5,-9.138,0,0.0493,0.0896,0.422,0.104,0.844,123.009,4,70
"Dillon Francis & DJ Snake","Get Low",2015-04-18,2015,2015-06-20,2015,9,61,100,212773,0.674,0.932,11,-4.424,0,0.0859,0.0282,0.71,0.684,0.728,101.033,4,65
"Zedd & Liam Payne","Get Low",2017-07-29,2017,2017-07-29,2017,1,91,91,204583,0.718,0.926,1,-3.511,1,0.0494,0.027,1.76e-05,0.0513,0.54,108.018,4,66
"Nicki Minaj Featuring Ariana Grande","Get On Your Knees",2015-01-03,2015,2015-01-03,2015,1,88,88,216493,0.653,0.445,0,-7.183,0,0.0413,0.31,0,0.116,0.176,144.02,4,54
"Migos","Get Right Witcha",2017-02-18,2017,2017-02-18,2017,1,72,72,257545,0.95,0.743,10,-5.861,0,0.238,0.0646,1.19e-05,0.103,0.62,136.98,4,68
"Jason Derulo","Get Ugly",2016-01-09,2016,2016-03-26,2016,12,52,100,200492,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,4,66
"Lil Baby","Get Ugly",2020-03-14,2020,2020-03-14,2020,1,54,54,155832,0.681,0.414,1,-6.944,0,0.223,0.177,0,0.178,0.0734,148.03,4,56
"Cardi B","Get Up 10",2018-04-21,2018,2018-04-28,2018,2,38,77,231453,0.806,0.57,1,-6.927,1,0.246,0.0977,0,0.105,0.454,93.015,4,65
"Justin Bieber","Get Used To It",2015-12-05,2015,2015-12-05,2015,1,90,90,238133,0.675,0.689,0,-8.461,1,0.0536,0.0237,0,0.178,0.463,110.065,4,58
"Daniel Caesar Featuring Kali Uchis","Get You",2018-03-03,2018,2018-04-28,2018,6,93,99,278179,0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,4,79
"Lauren Duski","Ghost In This House",2017-06-03,2017,2017-06-03,2017,1,98,98,212757,0.379,0.497,8,-4.916,1,0.0287,0.305,0,0.123,0.31,167.743,4,21
"Adam Lambert","Ghost Town",2015-07-04,2015,2015-10-24,2015,17,64,97,208330,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,4,66
"Kanye West Featuring PARTYNEXTDOOR","Ghost Town",2018-06-16,2018,2018-06-23,2018,2,16,60,271386,0.573,0.545,7,-4.247,0,0.0288,0.0969,0,0.329,0.297,83.378,4,73
"Ella Henderson","Ghost",2014-11-15,2014,2015-03-28,2015,20,21,94,213213,0.68,0.84,9,-3.823,1,0.0415,0.0457,8.38e-06,0.143,0.468,104.985,4,58
"21 Savage, Offset & Metro Boomin Featuring Travis Scott","Ghostface Killers",2017-11-18,2017,2017-12-30,2017,7,35,90,268933,0.782,0.436,2,-7.033,1,0.155,0.331,1.3e-05,0.342,0.243,82.994,4,74
"Ariana Grande","Ghostin",2019-02-23,2019,2019-03-02,2019,2,25,62,271466,0.287,0.364,9,-8.295,1,0.0306,0.418,1.8e-05,0.185,0.11,103.777,4,75
"Justin Bieber","Ghost",2021-04-03,2021,2021-04-03,2021,1,66,66,153190,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,76
"Gunna","Gimmick",2020-06-06,2020,2020-06-06,2020,1,86,86,128639,0.938,0.546,2,-7.037,1,0.138,0.00353,0,0.102,0.58,111.971,4,52
"J Balvin","Ginza",2015-09-26,2015,2016-02-06,2016,15,84,100,171093,0.73,0.809,5,-6.406,0,0.0876,0.208,0.0013,0.0804,0.825,101.965,4,71
"Little Big Town","Girl Crush",2015-02-21,2015,2015-08-15,2015,24,18,100,193320,0.5,0.225,0,-10.22,1,0.0302,0.842,0,0.112,0.355,173.788,3,70
"Maddie & Tae","Girl In A Country Song",2014-08-16,2014,2015-01-03,2015,20,54,84,217840,0.59,0.908,8,-3.789,1,0.084,0.285,0,0.36,0.874,160.028,4,57
"Jason Aldean","Girl Like You",2018-12-01,2018,2019-04-13,2019,19,46,99,193066,0.543,0.88,3,-4.204,0,0.0365,0.035,0.000227,0.304,0.483,144.057,4,69
"Rod Wave","Girl Of My Dreams",2020-04-25,2020,2020-09-12,2020,16,65,100,159817,0.586,0.547,4,-7.383,0,0.095,0.502,0,0.0963,0.35,75.911,4,69
"Maren Morris","GIRL",2019-02-02,2019,2019-08-03,2019,21,44,96,250653,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4,71
"Maren Morris","GIRL",2019-02-02,2019,2019-08-03,2019,21,44,96,250653,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4,72
"Megan Thee Stallion","Girls In The Hood",2020-07-11,2020,2020-12-05,2020,18,28,95,154323,0.821,0.863,6,-3.159,1,0.353,0.00824,0,0.0377,0.874,180.013,4,74
"Madi Davis","Girls Just Want To Have Fun",2015-12-19,2015,2015-12-19,2015,1,98,98,170573,0.507,0.223,2,-6.772,0,0.0361,0.924,0,0.223,0.392,130.352,3,17
"Maroon 5 Featuring Cardi B","Girls Like You",2018-06-09,2018,2019-06-01,2019,52,1,94,235545,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4,75
"5 Seconds Of Summer","Girls Talk Boys",2016-08-06,2016,2016-08-06,2016,1,68,68,216093,0.828,0.777,7,-3.356,1,0.0513,0.0901,0,0.0973,0.867,120.04,4,50
"Dan + Shay","Glad You Exist",2021-02-20,2021,2021-05-29,2021,15,63,93,144533,0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953,4,80
"Lil Baby","Global",2018-12-15,2018,2018-12-15,2018,1,91,91,169826,0.672,0.565,1,-6.504,1,0.441,0.106,0,0.113,0.313,163.827,4,62
"Macklemore Featuring Skylar Grey","Glorious",2017-07-29,2017,2017-12-09,2017,19,49,99,220454,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,4,78
"Common & John Legend","Glory",2015-01-31,2015,2015-03-14,2015,3,49,99,272727,0.567,0.587,9,-5.626,0,0.0417,0.867,0,0.13,0.572,83.046,4,59
"Drake Featuring Kanye West","Glow",2017-04-08,2017,2017-04-15,2017,2,54,89,206119,0.669,0.385,0,-8.901,1,0.378,0.227,0,0.7,0.391,162.039,4,59
"Kodak Black Featuring Lil Pump","Gnarly",2018-12-29,2018,2018-12-29,2018,1,88,88,186402,0.764,0.784,10,-4.003,0,0.0833,0.469,0,0.123,0.51,144.981,4,67
"Eminem","Gnat",2021-01-02,2021,2021-01-02,2021,1,60,60,224656,0.835,0.869,10,-4.582,0,0.27,0.248,0,0.462,0.82,140.945,4,72
"Polo G","GNF (OKOKOK)",2021-02-20,2021,2021-02-20,2021,1,55,55,116255,0.753,0.659,8,-9.671,1,0.416,0.659,0,0.098,0.459,146.022,4,73
"Blake Shelton Featuring Gwen Stefani","Go Ahead And Break My Heart",2016-05-28,2016,2016-05-28,2016,1,70,70,263800,0.618,0.731,7,-5.181,1,0.0321,0.0714,5.05e-05,0.421,0.352,116.008,4,55
"Chris Brown & Young Thug","Go Crazy",2020-05-23,2020,2021-05-15,2021,52,3,94,176960,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,4,83
