"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Pop Smoke","44 Bulldog",2020-07-18,2020,2020-07-25,2020,2,39,99,150857,0.8,0.564,8,-5.817,1,0.4,0.0287,1.65e-06,0.112,0.318,139.989,4,67
"Logic","44 More",2018-03-10,2018,2018-04-07,2018,5,22,85,188600,0.829,0.589,1,-7.055,1,0.202,0.0635,0,0.113,0.233,139.971,4,75
"Drake Featuring Sampha","4422",2017-04-08,2017,2017-04-15,2017,2,50,82,186293,0.621,0.247,11,-12.291,0,0.0393,0.499,0.0239,0.113,0.221,111.974,4,64
"Lil Uzi Vert","444+222",2017-09-16,2017,2017-09-30,2017,3,60,100,247347,0.791,0.513,10,-6.568,0,0.269,0.0235,2.83e-05,0.101,0.481,76.997,4,65
"KIDS SEE GHOSTS Featuring Louis Prima","4th Dimension",2018-06-23,2018,2018-06-23,2018,1,42,42,153351,0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,4,71
"Travis Scott","5% Tint",2018-08-18,2018,2018-08-25,2018,2,36,89,196138,0.712,0.481,4,-5.415,0,0.0487,0.173,0,0.241,0.062,140,4,73
"Drake","6 God",2015-03-07,2015,2015-03-07,2015,1,83,83,180666,0.857,0.639,2,-8.622,1,0.128,0.0239,0,0.121,0.477,105.504,4,64
"Beyonce Featuring The Weeknd","6 Inch",2016-05-14,2016,2016-05-28,2016,3,18,82,260440,0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,4,68
"Trippie Redd Featuring Juice WRLD & YNW Melly","6 Kiss",2019-12-07,2019,2019-12-28,2019,4,60,100,199436,0.687,0.449,2,-10.061,1,0.154,0.109,0,0.282,0.229,142.048,4,84
"Drake","6 Man",2015-03-07,2015,2015-03-07,2015,1,97,97,167653,0.798,0.529,8,-9.288,1,0.482,0.227,0,0.114,0.368,78.967,4,62
"Lil Yachty Featuring Trippie Redd","66",2018-03-24,2018,2018-03-24,2018,1,73,73,153474,0.667,0.723,5,-4.31,0,0.27,0.0455,0.000179,0.213,0.251,148.057,4,68
"Fetty Wap Featuring Remy Boyz","679",2015-07-18,2015,2016-04-16,2016,40,4,40,196693,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,4,76
"Ariana Grande","7 Rings",2019-02-02,2019,2019-09-14,2019,33,1,43,178626,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4,91
"Morgan Wallen","7 Summers",2020-08-29,2020,2021-02-13,2021,24,6,83,210506,0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903,4,75
"Lukas Graham","7 Years",2016-02-06,2016,2016-10-08,2016,36,2,96,237300,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,4,81
"Drake","8 Out Of 10",2018-07-14,2018,2018-07-28,2018,3,21,98,195720,0.529,0.69,2,-7.87,1,0.74,0.161,0,0.498,0.311,170.54,4,66
"Maren Morris","80s Mercedes",2016-11-05,2016,2017-02-25,2017,13,74,100,211767,0.485,0.834,9,-5.413,1,0.0715,0.0665,0,0.28,0.659,90.933,4,63
"Morgan Wallen","865",2021-01-23,2021,2021-02-20,2021,5,46,77,190680,0.532,0.584,8,-5.254,1,0.0248,0.723,0,0.101,0.367,88.003,4,73
"Billie Eilish","8",2019-04-13,2019,2019-04-13,2019,1,79,79,173201,0.735,0.235,3,-13.239,1,0.315,0.698,0.00604,0.107,0.462,62.446,4,80
"Post Malone","92 Explorer",2018-05-12,2018,2018-05-26,2018,3,40,98,211426,0.802,0.743,7,-4.82,0,0.0474,0.269,1.36e-06,0.121,0.877,146.03,4,76
"Drake","9",2016-05-21,2016,2016-06-18,2016,5,45,87,255786,0.7,0.721,2,-7.296,1,0.0447,0.000855,0.00112,0.257,0.0378,100.003,4,62
"Tyler, The Creator","A Boy Is A Gun",2019-06-01,2019,2019-06-01,2019,1,74,74,210253,0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,4,73
"Easton Corbin","A Girl Like You",2018-02-17,2018,2018-02-17,2018,1,98,98,217840,0.74,0.777,5,-4.405,1,0.0329,0.0178,1.27e-06,0.0665,0.834,104.989,4,61
"Tyler Farr","A Guy Walks Into A Bar",2015-01-17,2015,2015-05-30,2015,20,51,99,196000,0.428,0.78,0,-3.472,1,0.0373,0.083,0,0.115,0.431,147.986,4,59
"Blake Shelton","A Guy With A Girl",2016-12-03,2016,2017-03-25,2017,17,42,100,189466,0.552,0.893,0,-4.593,1,0.0383,0.0158,0,0.105,0.777,163.948,4,65
"Burl Ives","A Holly Jolly Christmas",2017-01-07,2017,2021-01-09,2021,19,4,48,135533,0.683,0.375,0,-13.056,1,0.0303,0.579,0,0.076,0.888,140.467,4,80
"Burl Ives","A Holly Jolly Christmas",2017-01-07,2017,2021-01-09,2021,19,4,48,135533,0.674,0.37,0,-12.937,1,0.0309,0.616,0,0.0781,0.862,140.352,4,82
"French Montana Featuring The Weeknd & Max B","A Lie",2017-08-05,2017,2017-08-05,2017,1,75,75,226790,0.516,0.792,1,-5.38,0,0.216,0.0235,0,0.404,0.524,121.189,5,58
"Jason Aldean","A Little More Summertime",2016-08-06,2016,2016-12-17,2016,13,52,90,219546,0.482,0.823,9,-4.446,1,0.0661,0.0386,3.69e-05,0.0948,0.451,167.665,4,56
"Shawn Mendes","A Little Too Much",2015-02-21,2015,2015-02-21,2015,1,94,94,187026,0.553,0.507,11,-6.24,1,0.0304,0.473,0,0.108,0.57,83.093,4,70
"The Weeknd","A Lonely Night",2016-12-17,2016,2016-12-17,2016,1,69,69,220173,0.853,0.663,7,-6.955,0,0.0755,0.0431,8.65e-06,0.0891,0.864,113.999,4,69
"21 Savage","A Lot",2019-01-05,2019,2019-06-08,2019,23,12,49,288624,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4,83
"P!nk","A Million Dreams",2018-11-10,2018,2018-11-10,2018,1,90,90,273640,0.312,0.499,7,-6.282,1,0.0397,0.272,0,0.0901,0.191,148.173,4,71
"Post Malone","A Thousand Bad Times",2019-09-21,2019,2019-10-05,2019,3,29,88,221173,0.632,0.732,6,-3.498,1,0.092,0.105,1.15e-05,0.111,0.317,159,4,80
"Sawyer Fredericks","A Thousand Years",2015-05-30,2015,2015-05-30,2015,1,94,94,169836,0.435,0.407,5,-6.249,1,0.0282,0.345,0,0.0933,0.362,148.029,3,25
"A$AP Rocky Featuring Moby","A$AP Forever",2018-04-21,2018,2018-06-09,2018,2,63,65,233061,0.469,0.78,10,-6.49,0,0.122,0.224,0,0.13,0.444,125.999,4,70
"T.I. Featuring Young Thug","About The Money",2014-08-23,2014,2015-01-03,2015,20,42,99,270120,0.81,0.721,9,-4.964,0,0.265,0.0487,0,0.0886,0.552,101.997,4,61
"Trey Songz","About You",2015-09-12,2015,2015-10-03,2015,3,83,98,196899,0.582,0.564,0,-4.066,0,0.0837,0.0959,0,0.26,0.718,204.002,4,57
"The Weeknd","Acquainted",2015-09-19,2015,2016-05-14,2016,18,60,100,348853,0.372,0.477,7,-9.838,0,0.0497,0.484,0,0.0844,0.254,101.097,4,73
"City Girls","Act Up",2019-03-16,2019,2019-08-03,2019,21,26,77,158332,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4,79
"City Girls","Act Up",2019-03-16,2019,2019-08-03,2019,21,26,77,158332,0.938,0.638,8,-4.713,1,0.189,0.0167,0,0.111,0.313,97.075,4,80
"Popp Hunna","Adderall (Corvette Corvette)",2021-01-02,2021,2021-02-06,2021,6,74,99,176382,0.921,0.718,4,-3.545,0,0.299,0.217,0,0.189,0.677,141.06,4,70
"Tainy, Anuel AA & Ozuna","Adicto",2019-10-05,2019,2019-10-12,2019,2,86,98,270740,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,4,91
"Harry Styles","Adore You",2019-12-21,2019,2020-11-28,2020,50,6,53,207133,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,91
"Cashmere Cat Featuring Ariana Grande","Adore",2015-03-21,2015,2015-03-21,2015,1,93,93,216000,0.331,0.614,5,-5.588,0,0.0586,0.0668,1.28e-05,0.108,0.201,139.849,4,59
"Coldplay","Adventure Of A Lifetime",2015-11-28,2015,2016-04-09,2016,20,13,76,263786,0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,4,75
"Weezer","Africa",2018-06-16,2018,2018-11-03,2018,15,51,96,238626,0.534,0.784,8,-3.59,1,0.0339,0.205,0.00579,0.106,0.6,92.147,4,66
"Travis Denning","After A Few",2020-04-11,2020,2020-07-18,2020,15,31,90,213493,0.617,0.849,10,-4.316,0,0.0355,0.0146,0,0.194,0.695,106.998,4,65
"Drake Featuring Static Major & Ty Dolla $ign","After Dark",2018-07-14,2018,2018-07-28,2018,3,41,82,289560,0.686,0.428,2,-13.072,1,0.192,0.0414,0,0.138,0.329,141.95,4,66
"The Weeknd","After Hours",2020-02-29,2020,2020-04-18,2020,7,20,100,361026,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,4,77
"Don Toliver","After Party",2020-05-02,2020,2020-09-19,2020,20,57,100,167915,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,4,82
"Ed Sheeran","Afterglow",2021-01-02,2021,2021-03-06,2021,10,29,94,185486,0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,4,84
"Taylor Swift","Afterglow",2019-09-07,2019,2019-09-07,2019,1,75,75,223293,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,4,74
"Fetty Wap","Again",2015-08-29,2015,2016-02-20,2016,26,33,50,312240,0.748,0.733,11,-4.421,0,0.072,0.0062,0,0.329,0.291,93.019,4,70
"Jon Pardi","Ain't Always The Cowboy",2020-09-12,2020,2021-01-16,2021,18,55,99,220880,0.539,0.837,9,-3.458,1,0.0385,0.0094,0,0.262,0.551,151.913,4,68
"YoungBoy Never Broke Again","Ain't Easy",2020-05-09,2020,2020-05-09,2020,1,83,83,145851,0.738,0.678,11,-6.596,0,0.134,0.176,0,0.25,0.514,79.002,4,52
"Zara Larsson","Ain't My Fault",2016-10-29,2016,2016-12-10,2016,7,76,90,224030,0.576,0.782,6,-4.825,0,0.0296,0.00778,0,0.285,0.355,141.153,4,71
"Kane Brown","Ain't No Stopping Us Now",2016-07-09,2016,2016-07-09,2016,1,88,88,182720,0.494,0.885,10,-5.725,1,0.0326,0.000171,0,0.114,0.471,75.992,4,54
"Cole Swindell","Ain't Worth The Whiskey",2015-01-17,2015,2015-05-23,2015,19,43,99,191906,0.432,0.738,2,-3.91,1,0.0309,0.042,0,0.119,0.503,153.712,4,61
"Jennifer Lopez","Ain't Your Mama",2016-04-30,2016,2016-05-28,2016,2,76,92,218234,0.757,0.678,8,-5.529,0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,4,72
"J. Cole","Album Of The Year (Freestyle)",2018-08-25,2018,2018-08-25,2018,1,87,87,138872,0.705,0.816,10,-7.046,0,0.32,0.0805,0,0.476,0.929,94.211,4,65
"Lady Gaga","Alice",2020-06-13,2020,2020-06-13,2020,1,84,84,177600,0.723,0.88,11,-4.287,0,0.038,0.00334,0.0179,0.0632,0.323,123.036,4,66
"Sia","Alive",2015-10-17,2015,2016-02-20,2016,3,56,99,263520,0.508,0.762,6,-4.217,0,0.0489,0.254,0.000122,0.108,0.444,99.963,4,66
"Hoodie Allen Featuring Ed Sheeran","All About It",2015-01-24,2015,2015-02-14,2015,4,71,100,205733,0.738,0.87,1,-5.343,0,0.0844,0.0124,0,0.14,0.845,89.988,4,47
"Meghan Trainor","All About That Bass",2014-07-26,2014,2015-06-13,2015,47,1,84,187920,0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,4,71
"Justin Bieber","All Around Me",2020-02-29,2020,2020-02-29,2020,1,100,100,136906,0.566,0.438,0,-7.564,0,0.0367,0.809,0,0.212,0.692,117.127,4,65
"Future & Young Thug","All Da Smoke",2017-11-11,2017,2017-11-11,2017,1,77,77,204960,0.893,0.583,0,-6.862,1,0.341,0.0265,1.33e-05,0.149,0.115,147,4,57
"Chance The Rapper Featuring John Legend","All Day Long",2019-08-10,2019,2019-08-10,2019,1,94,94,208238,0.792,0.867,2,-3.527,1,0.191,0.0396,0,0.143,0.655,123.044,4,67
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney","All Day",2015-03-21,2015,2015-06-27,2015,15,15,93,310906,0.855,0.638,9,-4.968,0,0.143,0.0648,0,0.162,0.412,122.967,4,63
"Meek Mill Featuring Chris Brown & Nicki Minaj","All Eyes On You",2015-07-11,2015,2015-11-21,2015,20,21,81,223973,0.589,0.658,11,-5.288,0,0.203,0.0242,0,0.118,0.251,77.521,4,71
"The Game Featuring Jeremih","All Eyez",2016-10-22,2016,2016-11-26,2016,5,79,100,215297,0.419,0.655,0,-6.679,1,0.247,0.0571,0,0.0962,0.353,76.835,3,59
"Juice WRLD","All Girls Are The Same",2018-05-26,2018,2018-10-06,2018,20,41,92,165819,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4,88
"Adele","All I Ask",2016-03-05,2016,2016-03-05,2016,1,77,77,271800,0.587,0.283,4,-5.473,1,0.0279,0.882,0,0.149,0.343,141.961,4,71
"Rod Wave","All I Got",2021-04-10,2021,2021-04-10,2021,1,71,71,193454,0.516,0.509,1,-9.611,1,0.443,0.415,0,0.708,0.682,75.927,1,64
"P!nk","All I Know So Far",2021-05-22,2021,2021-05-22,2021,1,74,74,277413,0.578,0.639,4,-5.749,1,0.0374,0.0586,0,0.0944,0.296,108.045,4,79
"The Weeknd Featuring Future","All I Know",2016-12-17,2016,2016-12-24,2016,2,46,83,321026,0.469,0.417,8,-10.614,0,0.0704,0.418,0.000189,0.102,0.175,120.012,4,67
"Mariah Carey","All I Want For Christmas Is You",2000-01-08,2000,2021-01-09,2021,43,1,83,241106,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,4,95
"Mariah Carey","All I Want For Christmas Is You",2000-01-08,2000,2021-01-09,2021,43,1,83,241106,0.335,0.625,7,-7.462,1,0.0386,0.164,0,0.0708,0.346,150.277,4,97
"Olivia Rodrigo","All I Want",2020-01-18,2020,2020-01-25,2020,2,90,100,177322,0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3,81
"Fifth Harmony Featuring Fetty Wap","All In My Head (Flex)",2016-07-09,2016,2016-11-05,2016,18,24,89,210573,0.689,0.791,0,-5.194,0,0.053,0.023,0,0.0526,0.755,95.04,4,67
"Lil Baby","All In",2020-05-09,2020,2020-07-04,2020,8,45,99,156032,0.836,0.649,11,-6.442,1,0.332,0.0716,0,0.0943,0.294,95.084,4,62
"YoungBoy Never Broke Again","All In",2020-09-05,2020,2020-09-26,2020,3,67,97,156662,0.511,0.654,8,-6.133,1,0.314,0.053,0,0.316,0.279,154.868,4,66
"Kanye West","All Mine",2018-06-16,2018,2018-08-11,2018,9,11,96,145506,0.925,0.31,11,-6.531,0,0.291,0.123,0,0.0931,0.291,121.927,4,74
"21 Savage","All My Friends",2019-01-05,2019,2019-01-12,2019,2,67,97,211785,0.713,0.62,0,-4.513,1,0.0422,0.171,1.16e-06,0.118,0.206,130.09,4,73
"Beyonce","All Night",2016-05-14,2016,2016-05-21,2016,2,38,64,322000,0.574,0.573,11,-7.079,1,0.085,0.392,2.16e-05,0.0933,0.626,136.304,4,68
"Devin Dawson","All On Me",2017-11-18,2017,2018-04-21,2018,19,52,98,224626,0.634,0.668,5,-5.488,1,0.0291,0.14,0,0.216,0.635,80.989,4,68
"Billie Eilish","All The Good Girls Go To Hell",2019-04-13,2019,2019-12-14,2019,7,46,92,168839,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4,86
"Billie Eilish","All The Good Girls Go To Hell",2019-04-13,2019,2019-12-14,2019,7,46,92,168839,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4,87
