District,School,Subject,2018%,2019%,2022%,2023%
Alamance-Burlington Schools,Alexander Wilson Elementary,Reading Grade 3-8,53.1,55.3,46.4,47.8
Alamance-Burlington Schools,Alexander Wilson Elementary,Math Grade 3-8,64.3,64.1,49.5,56.7
Alamance-Burlington Schools,Alexander Wilson Elementary,Science Grade 5&8,69.5,58.3,65.6,74.5
Alamance-Burlington Schools,Broadview Middle,Reading Grade 3-8,29.8,32,18.6,20.3
Alamance-Burlington Schools,Broadview Middle,Math Grade 3-8,17.9,22.6,15.7,13.3
Alamance-Burlington Schools,Broadview Middle,Science Grade 5&8,41.8,40.4,35.8,42.3
Alamance-Burlington Schools,Highland Elementary,Reading Grade 3-8,62.4,61.1,49.8,48.8
Alamance-Burlington Schools,Highland Elementary,Math Grade 3-8,67.8,69,53.3,51.7
Alamance-Burlington Schools,Highland Elementary,Science Grade 5&8,64.1,81.4,65.3,58.4
Alamance-Burlington Schools,E M Yoder Elementary,Reading Grade 3-8,55.6,60,54.1,57.7
Alamance-Burlington Schools,E M Yoder Elementary,Math Grade 3-8,65.7,66.5,56.9,67.3
Alamance-Burlington Schools,E M Yoder Elementary,Science Grade 5&8,74.5,92.9,60.6,72.4
Alamance-Burlington Schools,Eastern Alamance High,Biology,78,67.8,55.4,49.8
Alamance-Burlington Schools,Eastern Alamance High,English II,54.9,52.2,53,43.6
Alamance-Burlington Schools,Eastlawn Elementary,Reading Grade 3-8,32.6,31.3,22.6,24
Alamance-Burlington Schools,Eastlawn Elementary,Math Grade 3-8,39.4,38.9,26.2,23.5
Alamance-Burlington Schools,Eastlawn Elementary,Science Grade 5&8,34,40.3,31.8,29.2
Alamance-Burlington Schools,Edwin M Holt Elementary,Reading Grade 3-8,63.7,63.7,54.2,58.8
Alamance-Burlington Schools,Edwin M Holt Elementary,Math Grade 3-8,60.6,69.5,57,66.4
Alamance-Burlington Schools,Edwin M Holt Elementary,Science Grade 5&8,76.9,70,61.9,73.9
Alamance-Burlington Schools,Elon Elementary,Reading Grade 3-8,55,54.9,43.3,51.7
Alamance-Burlington Schools,Elon Elementary,Math Grade 3-8,52.2,56.8,46.3,53.7
Alamance-Burlington Schools,Elon Elementary,Science Grade 5&8,67.8,73.6,48.5,57.9
Alamance-Burlington Schools,Graham High,Biology,28.9,35.1,17.1,36.4
Alamance-Burlington Schools,Graham High,English II,34.2,28.9,46,49.2
Alamance-Burlington Schools,Graham Middle,Reading Grade 3-8,37.3,30.6,21.6,21.9
Alamance-Burlington Schools,Graham Middle,Math Grade 3-8,30.1,30.3,18.6,17.8
Alamance-Burlington Schools,Graham Middle,Science Grade 5&8,54.1,57.8,40.3,34.8
Alamance-Burlington Schools,Grove Park Elementary,Reading Grade 3-8,38.6,33.3,24.4,22.9
Alamance-Burlington Schools,Grove Park Elementary,Math Grade 3-8,36.4,35.8,25.4,24.8
Alamance-Burlington Schools,Grove Park Elementary,Science Grade 5&8,53,47,32.9,40.5
Alamance-Burlington Schools,Hawfields Middle,Reading Grade 3-8,61.2,59.6,47.4,55.3
Alamance-Burlington Schools,Hawfields Middle,Math Grade 3-8,64.4,75.9,65.8,68.3
Alamance-Burlington Schools,Hawfields Middle,Science Grade 5&8,86.4,86.3,81.7,87
Alamance-Burlington Schools,Harvey R Newlin Elementary,Reading Grade 3-8,35.7,35,18.6,19.5
Alamance-Burlington Schools,Harvey R Newlin Elementary,Math Grade 3-8,30.4,29.7,20.7,25.5
Alamance-Burlington Schools,Harvey R Newlin Elementary,Science Grade 5&8,38.3,29.1,21,26.9
Alamance-Burlington Schools,Haw River Elementary,Reading Grade 3-8,30.3,37.5,23.6,23
Alamance-Burlington Schools,Haw River Elementary,Math Grade 3-8,37.7,30.4,20.9,20.9
Alamance-Burlington Schools,Haw River Elementary,Science Grade 5&8,24.2,44.3,54.9,41.7
Alamance-Burlington Schools,Hillcrest Elementary,Reading Grade 3-8,28.6,30,25,30.9
Alamance-Burlington Schools,Hillcrest Elementary,Math Grade 3-8,26.8,36.4,22.3,28.5
Alamance-Burlington Schools,Hillcrest Elementary,Science Grade 5&8,18.6,40.4,31,43.1
Alamance-Burlington Schools,Hugh M Cummings High,Biology,76.2,75.9,48,46
Alamance-Burlington Schools,Hugh M Cummings High,English II,36.8,31.1,31.4,31.5
Alamance-Burlington Schools,Marvin B Smith Elementary,Reading Grade 3-8,66.9,70.1,60.6,58.5
Alamance-Burlington Schools,Marvin B Smith Elementary,Math Grade 3-8,71,67.8,68.5,68.3
Alamance-Burlington Schools,Marvin B Smith Elementary,Science Grade 5&8,76,65.9,76,85.5
Alamance-Burlington Schools,North Graham Elementary,Reading Grade 3-8,39.2,37.2,23,21.2
Alamance-Burlington Schools,North Graham Elementary,Math Grade 3-8,43.5,46.2,22.9,19.3
Alamance-Burlington Schools,North Graham Elementary,Science Grade 5&8,32.8,59.7,40.4,26
Alamance-Burlington Schools,Pleasant Grove Elementary,Reading Grade 3-8,45.4,48.9,39.4,36.5
Alamance-Burlington Schools,Pleasant Grove Elementary,Math Grade 3-8,46.8,44.5,40.6,48.9
Alamance-Burlington Schools,Pleasant Grove Elementary,Science Grade 5&8,71.1,70.3,63.8,60.4
Alamance-Burlington Schools,R Homer Andrews Elementary,Reading Grade 3-8,42.1,44.8,31.9,32.3
Alamance-Burlington Schools,R Homer Andrews Elementary,Math Grade 3-8,37.9,45.2,26.8,31.1
Alamance-Burlington Schools,R Homer Andrews Elementary,Science Grade 5&8,30.9,61.6,53.2,30.9
Alamance-Burlington Schools,Ray Street Academy,Reading Grade 3-8,7.7,11.5,12.5,8.6
Alamance-Burlington Schools,Ray Street Academy,Math Grade 3-8,2.5,5.8,2.5,2.5
Alamance-Burlington Schools,Ray Street Academy,Science Grade 5&8,2.5,18.2,23.1,26.9
Alamance-Burlington Schools,Ray Street Academy,English II,25,7.1,18.8,30
Alamance-Burlington Schools,South Graham Elementary,Reading Grade 3-8,37.5,40.3,34.6,33.6
Alamance-Burlington Schools,South Graham Elementary,Math Grade 3-8,37.9,48.4,36.8,31.9
Alamance-Burlington Schools,South Graham Elementary,Science Grade 5&8,37.8,49.4,34.2,49.3
Alamance-Burlington Schools,South Mebane Elementary,Reading Grade 3-8,61,63.2,50.3,51.4
Alamance-Burlington Schools,South Mebane Elementary,Math Grade 3-8,70.8,72.6,61.5,64.6
Alamance-Burlington Schools,South Mebane Elementary,Science Grade 5&8,80,83.1,65.3,67
Alamance-Burlington Schools,Sylvan Elementary,Reading Grade 3-8,40.1,43.3,43.9,38.2
Alamance-Burlington Schools,Sylvan Elementary,Math Grade 3-8,40.8,44.7,46.8,42.1
Alamance-Burlington Schools,Sylvan Elementary,Science Grade 5&8,53.1,52.5,70.2,68.1
Alamance-Burlington Schools,Turrentine Middle,Reading Grade 3-8,47.7,45.8,33.1,31.7
Alamance-Burlington Schools,Turrentine Middle,Math Grade 3-8,30.4,35.5,25.3,23.7
Alamance-Burlington Schools,Turrentine Middle,Science Grade 5&8,56.4,63.5,57.3,47.7
Alamance-Burlington Schools,Walter M Williams High,Biology,50.2,56.2,45.7,42.4
Alamance-Burlington Schools,Walter M Williams High,English II,60.1,60.6,54.7,55.3
Alamance-Burlington Schools,Western Alamance High,Biology,56,61.8,62,50.9
Alamance-Burlington Schools,Western Alamance High,English II,64.2,60.1,55.6,55.9
Alamance-Burlington Schools,Woodlawn Middle,Reading Grade 3-8,64,58,43.9,47.9
Alamance-Burlington Schools,Woodlawn Middle,Math Grade 3-8,65.7,69.4,52.3,51.9
Alamance-Burlington Schools,Woodlawn Middle,Science Grade 5&8,79.4,81.2,72.6,68.3
Alexander County Schools,Alexander Central High,Biology,51.2,55.6,59.2,56.4
Alexander County Schools,Alexander Central High,English II,45.7,46.6,57.9,55.9
Alexander County Schools,Alexander Early College,Biology,87,87,92.3,97.5
Alexander County Schools,Alexander Early College,English II,90.7,88.5,94.9,97.5
Alexander County Schools,Bethlehem Elementary,Reading Grade 3-8,60.9,62.7,56.9,63
Alexander County Schools,Bethlehem Elementary,Math Grade 3-8,65.7,68.2,64.2,69.1
Alexander County Schools,Bethlehem Elementary,Science Grade 5&8,82.3,72.7,81.7,86.1
Alexander County Schools,East Alexander Middle,Reading Grade 3-8,52.8,54.2,43.2,42.9
Alexander County Schools,East Alexander Middle,Math Grade 3-8,49.1,59.1,45.5,46.2
Alexander County Schools,East Alexander Middle,Science Grade 5&8,83.9,80.5,66.3,60.6
Alexander County Schools,Ellendale Elementary,Reading Grade 3-8,65.8,64.6,58.3,56.7
Alexander County Schools,Ellendale Elementary,Math Grade 3-8,71.5,70.1,61.1,62.9
Alexander County Schools,Ellendale Elementary,Science Grade 5&8,80,78.4,40.6,63.3
Alexander County Schools,Hiddenite Elementary,Reading Grade 3-8,40.1,46.1,45.6,45.5
Alexander County Schools,Hiddenite Elementary,Math Grade 3-8,52.1,59.4,45.6,48.2
Alexander County Schools,Hiddenite Elementary,Science Grade 5&8,66.2,65.5,42.6,67.9
Alexander County Schools,Stony Point Elementary,Reading Grade 3-8,55.8,57.4,45.5,33.3
Alexander County Schools,Stony Point Elementary,Math Grade 3-8,62.8,70.5,64.5,53.8
Alexander County Schools,Stony Point Elementary,Science Grade 5&8,62.8,60.5,78.9,75
Alexander County Schools,Sugar Loaf Elementary,Reading Grade 3-8,65.2,64.4,51.4,59.4
Alexander County Schools,Sugar Loaf Elementary,Math Grade 3-8,77.7,78.8,59.6,72.3
Alexander County Schools,Sugar Loaf Elementary,Science Grade 5&8,75,65.5,63.4,76.5
Alexander County Schools,Taylorsville Elementary,Reading Grade 3-8,66.1,69.2,60,57
Alexander County Schools,Taylorsville Elementary,Math Grade 3-8,77.4,82.5,72.4,71.9
Alexander County Schools,Taylorsville Elementary,Science Grade 5&8,90,74.4,75,61.8
Alexander County Schools,West Alexander Middle,Reading Grade 3-8,61.6,63.4,57.5,57.4
Alexander County Schools,West Alexander Middle,Math Grade 3-8,58.7,69.7,64.8,65.2
Alexander County Schools,West Alexander Middle,Science Grade 5&8,87.8,92.4,85.1,86
Alexander County Schools,Wittenburg Elementary,Reading Grade 3-8,59.2,66.2,45.4,47.9
Alexander County Schools,Wittenburg Elementary,Math Grade 3-8,69.7,72.9,53.9,50
Alexander County Schools,Wittenburg Elementary,Science Grade 5&8,70.2,79.2,68.9,71.4
Alleghany County Schools,Alleghany High,Biology,53,62.4,59.1,48.3
Alleghany County Schools,Alleghany High,English II,49.6,51.8,56.7,40.7
Alleghany County Schools,Glade Creek Elementary,Reading Grade 3-8,54.7,56.1,39.2,43.8
Alleghany County Schools,Glade Creek Elementary,Math Grade 3-8,65.5,70.9,57.6,60
Alleghany County Schools,Glade Creek Elementary,Science Grade 5&8,74,83.3,67.9,75
Alleghany County Schools,Piney Creek Elementary,Reading Grade 3-8,72,70.9,44.2,56.5
Alleghany County Schools,Piney Creek Elementary,Math Grade 3-8,76,84.5,49,65.4
Alleghany County Schools,Piney Creek Elementary,Science Grade 5&8,87.1,86.1,71.1,76.5
Alleghany County Schools,Sparta Elementary,Reading Grade 3-8,49.4,54.1,41.9,42.6
Alleghany County Schools,Sparta Elementary,Math Grade 3-8,53.6,53,40.6,39.9
Alleghany County Schools,Sparta Elementary,Science Grade 5&8,59.7,65.5,57.8,62.6
Anson County Schools,Anson Co. Early College High,Biology,60.4,64.8,57.4,69.2
Anson County Schools,Anson Co. Early College High,English II,81,61.9,77.8,89.4
Anson County Schools,Anson High School,Biology,31.3,31,20.4,23.2
Anson County Schools,Anson High School,English II,33.3,28.9,27.5,24.1
Anson County Schools,Ansonville Elementary,Reading Grade 3-8,65.7,63.5,68.8,55.4
Anson County Schools,Ansonville Elementary,Math Grade 3-8,67.3,62.4,68.4,59.8
Anson County Schools,Ansonville Elementary,Science Grade 5&8,78.3,81.6,81,72.7
Anson County Schools,Anson Middle,Reading Grade 3-8,41.2,41.2,31.6,23
Anson County Schools,Anson Middle,Math Grade 3-8,29.1,29.8,24.8,19.1
Anson County Schools,Anson Middle,Science Grade 5&8,59.6,64.4,62.9,38.6
Anson County Schools,Wadesboro Primary,Reading Grade 3-8,30,26.2,16.2,20.3
Anson County Schools,Wadesboro Primary,Math Grade 3-8,28.1,22,26,29
Anson County Schools,Lilesville Elementary,Reading Grade 3-8,41.1,49.2,41.3,35.9
Anson County Schools,Lilesville Elementary,Math Grade 3-8,46.1,60.2,32.4,43.1
Anson County Schools,Lilesville Elementary,Science Grade 5&8,37,77.1,47.5,52.9
Anson County Schools,Morven Elementary,Reading Grade 3-8,29.9,35.7,26.7,37.2
Anson County Schools,Morven Elementary,Math Grade 3-8,40.2,36.1,22.7,29.5
Anson County Schools,Morven Elementary,Science Grade 5&8,29,35.5,16,30.4
Anson County Schools,Peachland-Polkton Elem,Reading Grade 3-8,67.5,73.2,52,51.6
Anson County Schools,Peachland-Polkton Elem,Math Grade 3-8,71.8,77.4,74.3,74.3
Anson County Schools,Peachland-Polkton Elem,Science Grade 5&8,76.8,80,78.6,75
Anson County Schools,Wadesboro Elementary,Reading Grade 3-8,29.3,26.5,15.9,17.2
Anson County Schools,Wadesboro Elementary,Math Grade 3-8,21.6,18.2,5.5,17.9
Anson County Schools,Wadesboro Elementary,Science Grade 5&8,49.4,57.8,22.2,32.1
Ashe County Schools,Ashe County High,Biology,64.4,45.1,45.2,54.7
Ashe County Schools,Ashe County High,English II,55.6,53.8,58.2,55.7
Ashe County Schools,Ashe County Middle,Reading Grade 3-8,74.1,72.9,58.6,61.5
Ashe County Schools,Ashe County Middle,Math Grade 3-8,69.5,70.8,63.6,67.7
Ashe County Schools,Ashe County Middle,Science Grade 5&8,88.1,91.7,88.8,85.8
Ashe County Schools,Blue Ridge Elementary,Reading Grade 3-8,70.3,75.8,57.5,50.7
Ashe County Schools,Blue Ridge Elementary,Math Grade 3-8,66.3,68.5,60.6,58.4
Ashe County Schools,Blue Ridge Elementary,Science Grade 5&8,91,90.1,78.7,83
Ashe County Schools,Mountain View Elementary,Reading Grade 3-8,71.1,67.5,55,58.5
Ashe County Schools,Mountain View Elementary,Math Grade 3-8,72.9,71.6,66.8,73.4
Ashe County Schools,Mountain View Elementary,Science Grade 5&8,88.4,88.5,84.5,84.5
Ashe County Schools,Westwood Elementary,Reading Grade 3-8,69.2,66.8,54.2,53.6
Ashe County Schools,Westwood Elementary,Math Grade 3-8,71.9,69.8,62.2,66.8
Ashe County Schools,Westwood Elementary,Science Grade 5&8,91.9,85.3,68.2,76.3
Avery County Schools,Avery County High,Biology,49.5,52,58.1,46.9
Avery County Schools,Avery County High,English II,41.1,57,63.1,52.3
Avery County Schools,Banner Elk Elementary,Reading Grade 3-8,64.7,69.6,79.2,85
Avery County Schools,Banner Elk Elementary,Math Grade 3-8,66.2,68.1,83.1,88.8
Avery County Schools,Banner Elk Elementary,Science Grade 5&8,80,73.9,81.8,92.3
Avery County Schools,Cranberry Middle,Reading Grade 3-8,73,78,55,57.9
Avery County Schools,Cranberry Middle,Math Grade 3-8,65.9,76.3,64.9,67.3
Avery County Schools,Cranberry Middle,Science Grade 5&8,84.2,92.7,76.6,88.5
Avery County Schools,Crossnore Elementary,Reading Grade 3-8,64.1,52.8,59.6,58.8
Avery County Schools,Crossnore Elementary,Math Grade 3-8,70.9,60.4,67.4,80
Avery County Schools,Crossnore Elementary,Science Grade 5&8,97.5,73.7,90.6,91.2
Avery County Schools,Avery Middle,Reading Grade 3-8,70.3,68.6,41.6,46.9
Avery County Schools,Avery Middle,Math Grade 3-8,56.5,72.2,34.8,46.5
Avery County Schools,Avery Middle,Science Grade 5&8,81,85,77.3,64.3
Avery County Schools,Freedom Trail Elementary,Reading Grade 3-8,53.5,60.2,60.2,65.3
Avery County Schools,Freedom Trail Elementary,Math Grade 3-8,66.7,62.1,64.5,67.3
Avery County Schools,Freedom Trail Elementary,Science Grade 5&8,78.1,82.5,90.6,85.7
Avery County Schools,Newland Elementary,Reading Grade 3-8,52.1,56.9,41.1,34
Avery County Schools,Newland Elementary,Math Grade 3-8,59.9,54.3,41.1,53.2
Avery County Schools,Newland Elementary,Science Grade 5&8,68.4,81.6,52.8,51.4
Avery County Schools,Riverside Elementary,Reading Grade 3-8,61.7,54.2,31.1,51.1
Avery County Schools,Riverside Elementary,Math Grade 3-8,60,52.5,35.6,55.6
Avery County Schools,Riverside Elementary,Science Grade 5&8,82.4,50,27.3,66.7
Beaufort County Schools,Bath Elementary,Reading Grade 3-8,72.1,62.7,54.2,59.4
Beaufort County Schools,Bath Elementary,Math Grade 3-8,69.3,73.1,70.8,75.5
Beaufort County Schools,Bath Elementary,Science Grade 5&8,85.9,73.6,71.9,79.6
Beaufort County Schools,B C Ed Tech Center,Biology,2.5,2.5,2.5,2.5
Beaufort County Schools,B C Ed Tech Center,English II,9.1,2.5,6.3,7.1
Beaufort County Schools,Beaufort Co Early College High,Biology,97.5,97.5,92.6,97.5
Beaufort County Schools,Beaufort Co Early College High,English II,97.5,97.5,93.2,97.5
Beaufort County Schools,Chocowinity Middle,Reading Grade 3-8,61,53.8,40.3,47.1
Beaufort County Schools,Chocowinity Middle,Math Grade 3-8,60.5,58.6,50.1,51.9
Beaufort County Schools,Chocowinity Middle,Science Grade 5&8,74,60.5,56.3,68.6
Beaufort County Schools,Chocowinity Primary,Reading Grade 3-8,68.3,67,67.5,81.1
Beaufort County Schools,Chocowinity Primary,Math Grade 3-8,83.9,73.3,79.1,93.7
Beaufort County Schools,John C Tayloe Elementary,Reading Grade 3-8,50.4,50.4,32.4,35.4
Beaufort County Schools,John C Tayloe Elementary,Math Grade 3-8,64.7,59.2,44.6,41.3
Beaufort County Schools,John Small Elementary,Reading Grade 3-8,53.4,55.3,34.9,35.5
Beaufort County Schools,John Small Elementary,Math Grade 3-8,50,54.9,39.5,39.1
Beaufort County Schools,John Small Elementary,Science Grade 5&8,60.2,60.6,47.1,50.8
Beaufort County Schools,Northeast Elementary,Reading Grade 3-8,44.6,46.3,32.3,34.8
Beaufort County Schools,Northeast Elementary,Math Grade 3-8,46.2,52.3,43.4,46.2
Beaufort County Schools,Northeast Elementary,Science Grade 5&8,55.1,56.9,57,69.7
Beaufort County Schools,Northside High,Biology,51.9,44.4,62,59.2
Beaufort County Schools,Northside High,English II,53.3,43.8,51,56.7
Beaufort County Schools,P S Jones Middle,Reading Grade 3-8,46.6,46.9,38.8,37.9
Beaufort County Schools,P S Jones Middle,Math Grade 3-8,44.7,51.2,38.6,36.9
Beaufort County Schools,P S Jones Middle,Science Grade 5&8,62.6,67.5,61.1,52.8
Beaufort County Schools,Southside High,Biology,26.7,50.6,51,48.5
Beaufort County Schools,Southside High,English II,39.8,41.4,53.8,48.6
Beaufort County Schools,S W Snowden Elementary,Reading Grade 3-8,35.7,41.6,31.1,36.6
Beaufort County Schools,S W Snowden Elementary,Math Grade 3-8,36.7,44.2,26.4,27.7
Beaufort County Schools,S W Snowden Elementary,Science Grade 5&8,66.7,83.3,47.1,59
Beaufort County Schools,Washington High,Biology,29.8,40.9,31.2,27.4
Beaufort County Schools,Washington High,English II,41.3,39.3,37,42.1
Bertie County Schools,Bertie Early College High,Biology,88.2,86.5,48.8,71
Bertie County Schools,Bertie Early College High,English II,85,89.5,70.6,89.3
Bertie County Schools,Bertie High,Biology,15.2,23.3,28,26.9
Bertie County Schools,Bertie High,English II,19.9,34.3,23,35.6
Bertie County Schools,Bertie Middle,Reading Grade 3-8,45.2,49.2,35,36.2
Bertie County Schools,Bertie Middle,Math Grade 3-8,33.8,40.3,20.8,27.4
Bertie County Schools,Bertie Middle,Science Grade 5&8,73.3,72,60.3,41.1
Bertie County Schools,Aulander Elementary,Reading Grade 3-8,50.6,52.9,47.7,59
Bertie County Schools,Aulander Elementary,Math Grade 3-8,56.8,54.4,59.4,70.5
Bertie County Schools,Aulander Elementary,Science Grade 5&8,70,79.2,50,56.5
Bertie County Schools,West Bertie Elementary,Reading Grade 3-8,47.5,41.6,38.8,48.9
Bertie County Schools,West Bertie Elementary,Math Grade 3-8,61.5,40.8,37.8,58.7
Bertie County Schools,West Bertie Elementary,Science Grade 5&8,82.9,70.7,48.5,70
Bertie County Schools,Colerain Elementary,Reading Grade 3-8,36.4,44.6,34.6,30.1
Bertie County Schools,Colerain Elementary,Math Grade 3-8,57.3,56.4,34.6,53
Bertie County Schools,Colerain Elementary,Science Grade 5&8,83.3,74.3,50,60
Bertie County Schools,Windsor Elementary,Reading Grade 3-8,49.5,45.6,37.7,39.7
Bertie County Schools,Windsor Elementary,Math Grade 3-8,61,51.2,36.8,42.6
Bertie County Schools,Windsor Elementary,Science Grade 5&8,74,72.1,69,71.1
Bladen County Schools,Bladenboro Middle,Reading Grade 3-8,53.7,50,38.1,35.6
Bladen County Schools,Bladenboro Middle,Math Grade 3-8,46.7,48.5,27.6,37
Bladen County Schools,Bladenboro Middle,Science Grade 5&8,66.2,67.3,70.7,71.3
Bladen County Schools,Bladenboro Primary,Reading Grade 3-8,54.7,52.7,30.7,36.9
Bladen County Schools,Bladenboro Primary,Math Grade 3-8,66.4,58.1,40.7,45
Bladen County Schools,Bladen Lakes Primary,Reading Grade 3-8,49.3,44.3,32.5,38.6
Bladen County Schools,Bladen Lakes Primary,Math Grade 3-8,59.2,46.8,42.5,43.9
Bladen County Schools,Clarkton School of Discovery,Reading Grade 3-8,59.8,62,48.3,46.9
Bladen County Schools,Clarkton School of Discovery,Math Grade 3-8,47.8,44.4,46.8,42.5
Bladen County Schools,Clarkton School of Discovery,Science Grade 5&8,56.2,79.7,66.7,54.5
Bladen County Schools,Dublin Primary,Reading Grade 3-8,50.6,38.8,36.7,41.9
Bladen County Schools,Dublin Primary,Math Grade 3-8,57.3,41.8,36.7,50
Bladen County Schools,East Arcadia Elementary,Reading Grade 3-8,32.7,46.7,25,5
Bladen County Schools,East Arcadia Elementary,Math Grade 3-8,29,23.3,12.5,5
Bladen County Schools,East Bladen High,Biology,51,59.9,47.2,55.8
Bladen County Schools,East Bladen High,English II,39.8,45,29,54.2
Bladen County Schools,Elizabethtown Middle,Reading Grade 3-8,44,44.2,20.2,25.1
Bladen County Schools,Elizabethtown Middle,Math Grade 3-8,40.2,36.3,8.9,21.7
Bladen County Schools,Elizabethtown Middle,Science Grade 5&8,61.4,65.9,28.2,35.7
Bladen County Schools,Elizabethtown Primary,Reading Grade 3-8,47.9,41.4,25.7,32.4
Bladen County Schools,Elizabethtown Primary,Math Grade 3-8,52.1,50.5,28.6,37.1
Bladen County Schools,Plain View Primary,Reading Grade 3-8,44.9,37.7,36.5,31.8
Bladen County Schools,Plain View Primary,Math Grade 3-8,62.3,49.2,67.3,42.4
Bladen County Schools,Tar Heel Middle,Reading Grade 3-8,44.8,43.1,28.2,34.1
Bladen County Schools,Tar Heel Middle,Math Grade 3-8,32.3,41.6,27.6,32.4
Bladen County Schools,Tar Heel Middle,Science Grade 5&8,62.9,65.7,59.4,52.8
Bladen County Schools,West Bladen High,Biology,67.6,50.7,44.4,42.8
Bladen County Schools,West Bladen High,English II,53.8,49.1,47.3,51.9
Brunswick County Schools,Belville Elementary,Reading Grade 3-8,58.5,58.8,57.2,55.2
Brunswick County Schools,Belville Elementary,Math Grade 3-8,68.3,65.6,57.7,61
Brunswick County Schools,Belville Elementary,Science Grade 5&8,83.4,88.9,72.6,66.1
Brunswick County Schools,Bolivia Elementary,Reading Grade 3-8,55,58.8,48.9,44.7
Brunswick County Schools,Bolivia Elementary,Math Grade 3-8,64.3,73.9,56.3,56.1
Brunswick County Schools,Bolivia Elementary,Science Grade 5&8,65.1,79.8,44.9,60
Brunswick County Schools,Brunswick County Early College,Biology,92.6,97.5,97.5,93.5
Brunswick County Schools,Brunswick County Early College,English II,92.2,97.5,93.7,92.9
Brunswick County Schools,Cedar Grove Middle,Reading Grade 3-8,47.2,47.5,40.8,45.3
Brunswick County Schools,Cedar Grove Middle,Math Grade 3-8,37.2,52.5,48.9,57.1
Brunswick County Schools,Cedar Grove Middle,Science Grade 5&8,67.4,67.6,68,58.8
Brunswick County Schools,Jessie Mae Monroe Elementary,Reading Grade 3-8,42.5,53.1,48.5,51.7
Brunswick County Schools,Jessie Mae Monroe Elementary,Math Grade 3-8,46,51,55.9,61.2
Brunswick County Schools,Jessie Mae Monroe Elementary,Science Grade 5&8,59.2,62,71.4,66.1
Brunswick County Schools,Leland Middle,Reading Grade 3-8,53.8,54.2,39,40.2
Brunswick County Schools,Leland Middle,Math Grade 3-8,45.6,47.8,39.8,43.5
Brunswick County Schools,Leland Middle,Science Grade 5&8,75.5,79.7,61.1,67.2
Brunswick County Schools,Lincoln Elementary,Reading Grade 3-8,42.8,34.6,41.4,46.2
Brunswick County Schools,Lincoln Elementary,Math Grade 3-8,56.6,53.8,54.4,59.6
Brunswick County Schools,Lincoln Elementary,Science Grade 5&8,86.2,76.9,65.5,66.9
Brunswick County Schools,North Brunswick High,Biology,73.9,67.9,51.3,58.3
Brunswick County Schools,North Brunswick High,English II,58.4,59.7,48.3,43.5
Brunswick County Schools,Shallotte Middle,Reading Grade 3-8,61.3,58.1,43.1,47.7
Brunswick County Schools,Shallotte Middle,Math Grade 3-8,42.5,60.1,45.9,51.1
Brunswick County Schools,Shallotte Middle,Science Grade 5&8,83,85.4,73.1,64.4
Brunswick County Schools,South Brunswick High,Biology,67,63.8,57,56.2
Brunswick County Schools,South Brunswick High,English II,60.8,56.7,53.5,50.3
Brunswick County Schools,South Brunswick Middle,Reading Grade 3-8,60.1,52.2,51.3,49.3
Brunswick County Schools,South Brunswick Middle,Math Grade 3-8,49.9,52.1,52.1,51.4
Brunswick County Schools,South Brunswick Middle,Science Grade 5&8,83.8,84.4,75.1,71.6
Brunswick County Schools,Southport Elementary,Reading Grade 3-8,55.6,63.1,61.8,61
Brunswick County Schools,Southport Elementary,Math Grade 3-8,51.5,61.8,62.7,62.7
Brunswick County Schools,Southport Elementary,Science Grade 5&8,57.3,64.8,76.8,81.6
Brunswick County Schools,Supply Elementary,Reading Grade 3-8,44.8,41.7,45.4,41
Brunswick County Schools,Supply Elementary,Math Grade 3-8,43.8,45.6,64.1,59.7
Brunswick County Schools,Supply Elementary,Science Grade 5&8,31.9,71.2,70.4,64.6
Brunswick County Schools,Town Creek Elementary,Reading Grade 3-8,63.1,67.2,59.1,66.8
Brunswick County Schools,Town Creek Elementary,Math Grade 3-8,71.5,72.7,66.6,77.6
Brunswick County Schools,Union Elementary,Reading Grade 3-8,80,80.6,80,77.6
Brunswick County Schools,Union Elementary,Math Grade 3-8,91.1,87.1,89.3,90
Brunswick County Schools,Union Elementary,Science Grade 5&8,92.3,97.5,90.6,97.5
Brunswick County Schools,Virginia Williamson Elem,Reading Grade 3-8,55.9,55.9,50.4,47.8
Brunswick County Schools,Virginia Williamson Elem,Math Grade 3-8,55.5,59.1,62.4,62.5
Brunswick County Schools,Virginia Williamson Elem,Science Grade 5&8,70.1,57.7,57.8,62.9
Brunswick County Schools,Waccamaw,Reading Grade 3-8,52.3,54.4,53,58.2
Brunswick County Schools,Waccamaw,Math Grade 3-8,56.7,59.3,65,69
Brunswick County Schools,Waccamaw,Science Grade 5&8,84.7,86,70,79.8
Brunswick County Schools,West Brunswick High,Biology,66.7,58.7,58.2,58.4
Brunswick County Schools,West Brunswick High,English II,61.3,57.4,50.1,50
Buncombe County Schools,Community High School,Biology,25.9,2.5,29.5,5.4
Buncombe County Schools,Community High School,English II,34.4,22,42.9,25
Buncombe County Schools,Reynolds High,Biology,60.4,72.3,53.1,57.6
Buncombe County Schools,Reynolds High,English II,67.9,67,68.6,67.8
Buncombe County Schools,Reynolds Middle,Reading Grade 3-8,60.5,60.9,38.9,50.3
Buncombe County Schools,Reynolds Middle,Math Grade 3-8,48,59.4,43.5,53.4
Buncombe County Schools,Reynolds Middle,Science Grade 5&8,80.8,77.2,65,68.8
