"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Migos","Auto Pilot",2018-02-10,2018,2018-02-10,2018,1,85,85,287992,0.924,0.716,11,-5.801,1,0.165,0.0716,0,0.201,0.254,129.987,4,54
"Solange Featuring Sampha","Don't Touch My Hair",2016-10-22,2016,2016-10-22,2016,1,91,91,257546,0.823,0.411,0,-7.061,1,0.0557,0.409,0.00135,0.649,0.397,90.997,4,62
"Meek Mill Featuring Cardi B","On Me",2018-12-15,2018,2018-12-22,2018,2,30,82,225007,0.864,0.666,1,-5.525,1,0.234,0.0482,0,0.134,0.538,132.12,4,64
"Zara Larsson","Ruin My Life",2019-01-12,2019,2019-02-23,2019,7,76,86,190931,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,4,81
"The Chainsmokers Featuring 5 Seconds Of Summer","Who Do You Love",2019-02-23,2019,2019-06-08,2019,16,52,89,226733,0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,4,79
"Jessie J","Masterpiece",2015-01-03,2015,2015-03-28,2015,3,65,85,220653,0.661,0.733,0,-2.701,0,0.0433,0.0153,0,0.0982,0.613,143.92,4,64
"Billie Eilish","Listen Before I Go",2019-04-13,2019,2019-04-13,2019,1,63,63,242652,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,3,82
"Kodak Black","Everything 1K",2017-03-04,2017,2017-03-04,2017,1,84,84,186592,0.517,0.61,1,-6.373,1,0.372,0.153,0,0.416,0.163,135.498,4,48
"Frank Ocean","Nights",2016-09-10,2016,2016-09-10,2016,1,98,98,307151,0.466,0.548,5,-9.362,0,0.118,0.42,0.00000101,0.113,0.423,89.815,4,80
"K Camp","Comfortable",2015-08-22,2015,2015-11-28,2015,15,54,91,211573,0.775,0.417,7,-8.895,0,0.0974,0.72,0,0.125,0.608,109.956,4,68
"Ed Sheeran","Happier",2017-03-25,2017,2017-04-01,2017,2,59,94,207520,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4,84
"Nelly Featuring Jeremih","The Fix",2015-09-05,2015,2016-02-27,2016,20,62,97,173045,0.812,0.479,8,-6.47,1,0.0429,0.0485,0,0.102,0.0873,95.505,4,67
"O.T. Genasis","CoCo",2014-12-06,2014,2015-04-18,2015,20,20,79,239573,0.886,0.628,8,-5.949,1,0.131,0.00215,0.0000115,0.31,0.178,119.906,4,65
"Shawn Mendes","If I Can't Have You",2019-05-18,2019,2019-10-19,2019,23,2,48,190800,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4,85
"Shakira Featuring Maluma","Chantaje",2016-11-19,2016,2017-04-01,2017,18,51,97,195840,0.852,0.773,8,-2.921,0,0.0776,0.187,0.0000305,0.159,0.907,102.034,4,77
"Thomas Rhett","Unforgettable",2017-08-19,2017,2017-12-30,2017,20,47,86,157080,0.663,0.738,7,-5.48,1,0.0303,0.032,0.000225,0.0856,0.825,130.02,4,68
"Ciara","Level Up",2018-08-04,2018,2018-09-08,2018,6,59,91,204150,0.746,0.825,1,-4.666,1,0.169,0.0142,0.0107,0.121,0.584,152.914,4,70
"AJR","Bang!",2020-07-04,2020,2021-03-13,2021,35,8,99,170858,0.74,0.516,1,-6.233,0,0.0507,0.0183,0,0.0558,0.698,139.918,4,75
"Juice WRLD","Righteous",2020-05-09,2020,2020-08-29,2020,16,11,96,242180,0.706,0.625,0,-7.426,1,0.0314,0.0417,0,0.129,0.225,142.948,4,80
"Kodak Black","Take One",2018-12-01,2018,2018-12-01,2018,1,81,81,165517,0.66,0.615,1,-7.2,1,0.47,0.114,0,0.315,0.501,174.034,4,60
"Bruno Mars","Versace On The Floor",2016-12-10,2016,2017-09-30,2017,14,33,100,261240,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,4,77
"21 Savage","Monster",2019-01-05,2019,2019-01-19,2019,3,73,90,233039,0.89,0.607,9,-6.916,0,0.124,0.158,0.000228,0.118,0.224,134.022,4,74
"Cardi B","Money",2018-11-03,2018,2019-04-27,2019,26,13,54,183527,0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,4,81
"DJ Snake Featuring Bipolar Sunshine","Middle",2016-02-06,2016,2016-06-25,2016,21,20,95,220573,0.586,0.701,1,-5.326,0,0.0416,0.0203,0,0.055,0.254,104.957,4,78
"High Valley","She's With Me",2018-03-10,2018,2018-04-28,2018,8,79,96,180301,0.599,0.931,11,-3.662,1,0.0517,0.0285,0,0.102,0.788,111.012,4,58
"Migos Featuring 21 Savage","BBO (Bad Bitches Only)",2018-02-10,2018,2018-02-17,2018,2,48,89,251858,0.804,0.774,4,-5.79,0,0.0638,0.044,0.00000138,0.217,0.493,161.955,4,66
"Lil Uzi Vert","Prices",2020-03-21,2020,2020-03-28,2020,2,25,95,233333,0.786,0.683,7,-5.397,1,0.205,0.173,0,0.706,0.57,126.002,4,67
"Young Thug Featuring Lil Baby","Bad Bad Bad",2019-08-31,2019,2019-10-26,2019,9,32,99,149040,0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,4,82
"Thomas Rhett","What's Your Country Song",2020-11-28,2020,2021-05-22,2021,21,29,85,164100,0.564,0.127,5,-19.18,1,0.0587,0.828,0,0.105,0.504,86.87,4,2
